mode,id,memory_used,timestamp,init,billed,memory_max,duration
interactive,34469765490562995251057345826714379719770058926335197238,48,1545677742322,,100,256,77.02
interactive,34469716317553636962224499808236493236554059934693195864,48,1545675537328,,100,256,37.06
interactive,34469748811233541149643970542315179182789837766190759994,48,1545676994395,,100,256,22.85
embedded,34469856067202791367440710525159475390874777936810999876,82,1545681803919,,100,256,54.39
interactive,34469756891128037755266694512973408205319479240463679499,49,1545677356710,521.99,700,256,94.15
embedded,34469850126105864517294460311028474481560615465689284688,84,1545681537511,,100,256,16.36
interactive,34469721645380070852778613597069695790696959296976060486,50,1545675776236,,100,256,38.03
interactive,34469765535186786393317122732927351983339430299802009670,48,1545677744323,,100,256,18.27
embedded,34469892299959440011695641116323010541286048596310229002,83,1545683428652,833.91,900,256,6.82
embedded,34469847068673697798746027443928285629511493189203722309,84,1545681400411,,100,256,38.65
interactive,34469754306984586385133676590084712258477038519226007639,48,1545677240833,,100,256,28.25
interactive,34469737948852765378156866433968503609005181523218071624,48,1545676507309,,100,256,49.5
interactive,34469718842867722498633733877284671920091716835555737638,48,1545675650567,,100,256,37.86
interactive,34469716102529851757992231477549097651678558294030024715,48,1545675527686,506.19,700,256,133
interactive,34469748720670214898411109964538627277564841690404290584,48,1545676990334,,100,256,49.52
interactive,34469757068195954631599842256767011290147469597948182607,49,1545677364650,,100,256,13.38
embedded,34469858829150084205458386755766090572163140530816221231,83,1545681927769,,100,256,31.85
embedded,34469883896704138027378881583063054927573030160502292491,86,1545683051837,1038.96,1100,256,20.56
interactive,34469718865614482601134969481651104558193045571655761966,48,1545675651587,,100,256,40.15
interactive,34469729625211123752594431519060365051466159204927340625,49,1545676134064,,100,256,4.45
embedded,34469872920032043113422333859112289638534270390595682387,83,1545682559626,,100,256,32.24
interactive,34469746066926137763664017217003616396649680375287578701,48,1545676871336,,100,256,32.72
embedded,34469878524878333860123848326530528586372179896457953347,84,1545682810956,,100,256,34.95
embedded,34469881180361869120356329680965806503999194975225249846,81,1545682930032,789.75,900,256,22.71
interactive,34469729492254080878954856349224412709936627906272100380,49,1545676128102,,100,256,58.99
interactive,34469743305647867281602259688174435871676588656803708963,48,1545676747516,,100,256,85.77
embedded,34469886794908984028418665212811444075369859298802597907,87,1545683181797,,100,256,21.86
embedded,34469856093963685605677458295002337318052811743987499084,82,1545681805119,,100,256,6.49
interactive,34469726834741177805656088297748127708436277668289118237,49,1545676008935,,100,256,21.11
embedded,34469881395363353579390067388511666370602048254382440580,81,1545682939673,,100,256,29.34
interactive,34469726967185303539729459135328758529694896652306808913,49,1545676014874,,100,256,19.76
embedded,34469886864041294143863596951572170720579779967341887534,87,1545683184897,,100,256,60.02
embedded,34469852906272866182511655654057094003544193950752309286,83,1545681662178,,100,256,65.78
embedded,34469838472137837178764357141332672848868296460931629063,81,1545681014929,968.84,1100,256,66.01
embedded,34469864538809877385253829984729016221297267195749466212,83,1545682183799,,100,256,34.11
embedded,34469856011896943275084765134150894074706841401979568178,82,1545681801439,,100,256,44.18
embedded,34469884051025294801210793722490225374299691781886771254,86,1545683058757,,100,256,36.3
interactive,34469721586907516942231319719963042479812955428295409716,50,1545675773614,,100,256,15.95
interactive,34469762496353441170343229571155693125906461336759107601,49,1545677608057,,100,256,73.43
interactive,34469765419691227010127025482913867049293566060329435165,48,1545677739144,,100,256,19.12
interactive,34469762470529178230444767973257331366179658712833785864,49,1545677606899,505.26,700,256,95.27
interactive,34469756979862702900220043993144031212187309672759754795,49,1545677360689,,100,256,36.92
embedded,34469858747997672428005449143717611777995753010553487390,83,1545681924130,,100,256,23.2
interactive,34469754129046940446057834543771216161015762063008268308,48,1545677232854,,100,256,54.4
interactive,34469768238371615633206606984103969134120025286902939694,50,1545677865538,,100,256,21.94
embedded,34469867113141000868033373728667743106713118360123473962,81,1545682299236,,100,256,34.69
interactive,34469754262873712382440104016127061515178579460396744777,48,1545677238855,,100,256,17.64
embedded,34469872950338755838225450708459330771063393677223067740,83,1545682560985,,100,256,17.88
interactive,34469721536953847697522723882923033549080625654899277859,50,1545675771374,,100,256,23.72
interactive,34469724296492660054099092807766819286673065199633891395,48,1545675895116,,100,256,6.59
interactive,34469768260672360831737230125639687406768386792883355704,50,1545677866538,,100,256,43.76
interactive,34469735341917952415125551667919511613617897369657409624,50,1545676390410,,100,256,16.64
interactive,34469751522981856545769214080506684089936509507944054822,48,1545677115994,,100,256,34.43
embedded,34469881322662924232180235947105224801768389744886284394,81,1545682936413,,100,256,13.35
interactive,34469746091456957482047702672692906496562878031866036311,48,1545676872436,,100,256,44.95
interactive,34469718796526773976087098989173449349528421626128433172,48,1545675648489,,100,256,38.29
embedded,34469889627460436164984294304723461073031772190660034637,84,1545683308813,,100,256,4.04
interactive,34469748744755019712824182957397203012025072116863139872,48,1545676991414,,100,256,25.58
embedded,34469889655960788528706430679606109025476378195303006295,84,1545683310091,,100,256,32.28
embedded,34469864332773292496029402780080515100299055241996402752,83,1545682174560,,100,256,10.57
embedded,34469841346770795504957272104869595988346961960028799021,87,1545681143832,,100,256,10.92
embedded,34469847021842132881831718846703277256949934026644848690,84,1545681398311,,100,256,6.92
embedded,34469853023998500085554815218224150764854894340822925377,83,1545681667457,,100,256,20.88
interactive,34469746044625392565133394075467898124001318869307162692,48,1545676870336,,100,256,25.17
